institution_number;university;university_name;2009_Income;2009_Expenditure;2010_Income;2010_Expenditure;2011_Income;2011_Expenditure;2012_Income;2012_Expenditure;2013_Income;2013_Expenditure;2014_Income;2014_Expenditure;2015_Income;2015_Expenditure;2016_Income;2016_Expenditure
H01;CPUT;Cape Peninsula University of Technology;1241691;1201185;1436416;1348416;1598539;1478863;1743574;1607126;1783493;1733384;2015037;1895492;2133034;2159006;2250999;2325719
H02;UCT;University of Cape Town;2979596;2548157;3221507;2881682;3542774;3085404;3942494;3566285;4068501;3894760;4745810;4310175;5334512;4795584;6090358;5426659
H03;CUT;Central University of Technology;414009;364203;474257;398217;517792;458489;567368;523981;617270;589124;640964;753130;724308;743259;879782;798738
H04;DUT;Durban University of Technology;947421;880312;1081276;944274;1093957;968337;1269564;1113484;1201758;1120618;1280762;1198382;1428264;1308875;1765094;1459362
H05;FH;University of Fort Hare;662881;539125;668998;593940;634097;635373;767706;709949;779887;837634;882977;1004329;1085956;1003236;1123558;1310352
H06;FS;University of Free State;1478434;1255539;1640211;1443475;1812679;1538120;1869065;1737282;2096392;1784573;2320325;1987335;2249023;1832784;2842325;2392158
H07;UJ;University of Johannesburg;2096651;1944425;2415871;2181950;2597962;2390167;3003591;2592328;3203712;2913327;3568798;3254236;3584577;3550528;4314349;3985683
H08;KZN;University of Kwazulu-Natal;2670058;2650726;3009527;2832541;3376606;3227440;3727037;3547303;3562778;3502294;3779985;3689206;4079981;3894945;4273880;4156639
H09;UL;University of Limpopo;946467;914771;1133878;1120462;1268638;1277269;1375118;1383441;1498440;1678801;1832378;1725000;1298485;1111419;1509537;1583209
H10;NMU;Nelson Mandela University;1158015;970005;1319687;1142581;1442450;1261363;1607565;1416149;1748547;1631983;1953489;1724881;2051946;1871400;2230785;2158880
H11;NWU;North West University;1827000;1786113;2001621;1964380;2317760;2254381;2713286;2608813;2972534;2934121;3205899;3286568;3526951;3444885;3837959;3555197
H12;UP;University of Pretoria;4039262;3206257;4212987;3642152;4408175;3876540;4966423;4410792;4519787;4545663;5977290;4838495;6406150;5228923;6411386;5843688
H13;RU;Rhodes University;638183;612619;726178;692675;815380;746342;910898;816627;922105;958611;994229;1005444;1198000;1051359;1199175;1137919
H14;UNISA;University of South Africa;3602721;3212306;4299313;3501628;4652786;4012848;5568215;4650853;6123157;5008858;5362884;5764195;5854368;6212577;6986871;6805043
H15;SU;University of Stellenbosch;2687803;2375301;3109893;2718011;3446090;2908046;3641582;3358736;4064084;3535670;5390552;3903621;5032843;3715529;5311428;4570604
H16 ;TUT;Tshwane University of Technology;1987843;1851992;2133928;1968170;2184302;2179641;2425615;2433380;2648318;2609743;2967369;2824664;2872359;3073259;3068585;3323281
H17;UNIVEN;University of Venda;445260;400697;520131;441923;530070;492887;618928;533809;741421;665980;825139;760649;955908;940390;1022125;1041712
H18;VUT;Vaal University of Technology;634294;505777;759280;602618;832927;642794;889228;771486;1045986;922121;1150351;1029306;1052177;1084364;1166518;1293858
H19;WSU;Walter Sisulu University;966526;1011132;1052859;1431976;1023195;970024;1263468;1265148;1326520;1324110;1401144;1344053;1442213;1441931;1584983;1619852
H20;UWC;University of the Western Cape;1009995;845458;1112503;1011607;1265854;1120978;1408265;1283048;1577477;1365360;1688711;1509340;1857189;1727363;2095727;2048036
H21;WITS;University of Witwatersrand;3434201;3333396;3616000;3426477;3998666;3691585;4412114;4375537;4756132;4423833;5608592;5084437;6409777;6194943;6466792;6207638
H22;UZ;University of Zululand;534591;530456;580174;522660;681721;567693;769891;646959;774616;663127;853439;745674;909391;756780;1028171;912760
H23 ;SPU;Sol Plaatje University;0;0;0;0;0;0;0;0;0;0;0;0;101562;94541;213006;190645
H24;UMP;University of Mpumalanga;0;0;0;0;0;0;0;0;0;0;0;0;246385;186816;301207;276631
H25;MUT;Mangosuthu University of Technology;319345;342603;352313;362713;391142;396299;443900;465065;530152;526687;553030;566619;576604;596872;611644;605475
H26;SMHSU;Sefako Makgatho Health Science University;0;0;0;0;0;0;0;0;0;0;0;0;780198;688035;703246;899412
